"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00365,1.61e-05,3.33e-05,0.00573,0,0.000826
"2","Jan",0.000992,0,2.51e-06,0.00645,0,0.000897
"3","Feb",0.00119,0,3.2e-06,0.00505,0,0.00076
"4","Mar",0.00196,1.49e-05,7.09e-06,0.00689,0,0.000746
"5","Apr",0.00318,0.000925,1.58e-05,0.00482,0,0.000577
"6","May",0.00508,0.00238,3.64e-05,0.00535,0,0.000676
"7","Jun",0.00749,0.00403,7.05e-05,0.00629,0,0.000879
"8","Jul",0.00764,0.00363,7.47e-05,0.00708,0,0.00102
"9","Aug",0.00664,0.0022,6.06e-05,0.00489,0,0.000811
"10","Sep",0.0046,0.000283,3.52e-05,0.00761,0,0.00151
"11","Oct",0.00251,0,1.21e-05,0.00354,0,0.00052
"12","Nov",0.00144,0,5.22e-06,0.00585,0,0.000951
"13","Dec",0.000905,0,2.15e-06,0.00496,0,0.000575
