"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00285,1.18e-05,2e-05,0.00548,0,0.000427
"2","Jan",0.000778,0,1.59e-06,0.00543,0,0.000328
"3","Feb",0.000906,0,1.9e-06,0.00587,0,0.000415
"4","Mar",0.00151,2.34e-05,4.35e-06,0.00724,0,0.000468
"5","Apr",0.00254,0.000719,1.05e-05,0.0057,0,0.000402
"6","May",0.00401,0.00188,2.24e-05,0.00661,0,0.00064
"7","Jun",0.0059,0.00323,4.27e-05,0.00521,0,0.000413
"8","Jul",0.00587,0.00291,4.27e-05,0.00651,0,0.000644
"9","Aug",0.00525,0.00189,3.68e-05,0.00541,0,0.00049
"10","Sep",0.00353,0.000206,2.03e-05,0.00497,0,0.000492
"11","Oct",0.002,0,7.61e-06,0.00291,0,0.000172
"12","Nov",0.0011,0,3.14e-06,0.00502,0,0.00036
"13","Dec",0.000702,0,1.32e-06,0.00493,0,0.000289
