"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00362,3.53e-05,3.27e-05,0.00549,0,0.000725
"2","Jan",0.000962,0,2.27e-06,0.00594,0,0.000786
"3","Feb",0.00121,0,3.16e-06,0.00535,0,0.000607
"4","Mar",0.00181,0,6.04e-06,0.0075,0,0.000974
"5","Apr",0.00293,0.000864,1.29e-05,0.0048,0,0.000506
"6","May",0.00484,0.0022,3.33e-05,0.00481,0,0.00048
"7","Jun",0.0071,0.00399,6.26e-05,0.00498,0,0.000594
"8","Jul",0.00819,0.00417,8.45e-05,0.00594,0,0.000952
"9","Aug",0.00632,0.00224,5.43e-05,0.00599,0,0.00126
"10","Sep",0.00487,0.00052,3.82e-05,0.00639,0,0.000835
"11","Oct",0.00261,0,1.27e-05,0.00439,0,0.000614
"12","Nov",0.00152,0,5.34e-06,0.0043,0,0.000461
"13","Dec",0.000968,0,2.35e-06,0.0054,0,0.000595
