"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.0033,2.31e-05,2.73e-05,0.00436,0,0.000312
"2","Jan",0.000838,0,1.82e-06,0.00432,0,0.000228
"3","Feb",0.001,0,2.31e-06,0.00411,0,0.000245
"4","Mar",0.00171,2.24e-05,5.56e-06,0.00589,0,0.000332
"5","Apr",0.00288,0.000843,1.33e-05,0.00482,0,0.00036
"6","May",0.00469,0.00227,3.04e-05,0.00482,0,0.000325
"7","Jun",0.00681,0.00372,5.69e-05,0.00442,0,0.000343
"8","Jul",0.00697,0.00357,6.06e-05,0.00495,0,0.000389
"9","Aug",0.00609,0.00224,4.99e-05,0.00445,0,0.000418
"10","Sep",0.00413,0.000259,2.79e-05,0.00432,0,0.000449
"11","Oct",0.00228,0,9.94e-06,0.00232,0,0.000134
"12","Nov",0.00124,0,3.98e-06,0.00438,0,0.000304
"13","Dec",0.000795,0,1.69e-06,0.00357,0,0.000213
