"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00379,1.32e-05,3.57e-05,0.00537,0,0.000563
"2","Jan",0.00106,0,2.83e-06,0.00596,0,0.000611
"3","Feb",0.00125,0,3.52e-06,0.00512,0,0.000424
"4","Mar",0.00208,1.91e-05,7.85e-06,0.00649,0,0.00058
"5","Apr",0.00332,0.000985,1.71e-05,0.00494,0,0.000539
"6","May",0.00515,0.0024,3.66e-05,0.00545,0,0.000475
"7","Jun",0.00772,0.00399,7.58e-05,0.00508,0,4e-04
"8","Jul",0.00795,0.00379,8.06e-05,0.00641,0,0.000691
"9","Aug",0.00692,0.00223,6.74e-05,0.0043,0,0.000465
"10","Sep",0.00477,0.000272,3.73e-05,0.00718,0,0.00102
"11","Oct",0.0026,0,1.28e-05,0.00376,0,0.000416
"12","Nov",0.00154,0,5.88e-06,0.00493,0,0.000662
"13","Dec",0.000941,0,2.32e-06,0.0048,0,0.000454
