"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00351,9.06e-06,3.04e-05,0.00555,0,0.000633
"2","Jan",0.000988,0,2.47e-06,0.00659,0,0.000835
"3","Feb",0.00117,0,3.12e-06,0.00501,0,0.000426
"4","Mar",0.00193,2.93e-05,6.78e-06,0.00662,0,0.000598
"5","Apr",0.00308,0.000894,1.48e-05,0.0052,0,0.000619
"6","May",0.00484,0.0023,3.23e-05,0.00547,0,0.000475
"7","Jun",0.00708,0.00363,6.34e-05,0.00625,0,0.000756
"8","Jul",0.0073,0.00351,6.72e-05,0.00589,0,0.000643
"9","Aug",0.00647,0.00211,5.79e-05,0.00427,0,0.000383
"10","Sep",0.0044,0.00024,3.17e-05,0.00757,0,0.00122
"11","Oct",0.00243,0,1.12e-05,0.00334,0,0.000383
"12","Nov",0.00143,0,5.1e-06,0.00563,0,0.000791
"13","Dec",0.000887,0,2.07e-06,0.00485,0,0.000465
