"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00336,1.52e-05,2.82e-05,0.00392,0,0.000284
"2","Jan",0.000877,0,2e-06,0.00362,0,0.000191
"3","Feb",0.00105,0,2.56e-06,0.00329,0,0.000192
"4","Mar",0.00177,2.38e-05,5.91e-06,0.00532,0,0.000317
"5","Apr",0.00296,0.000871,1.4e-05,0.00363,0,0.000231
"6","May",0.00472,0.00224,3.1e-05,0.00423,0,3e-04
"7","Jun",0.00692,0.00382,5.9e-05,0.00469,0,0.00041
"8","Jul",0.00704,0.00348,6.18e-05,0.00462,0,0.000337
"9","Aug",0.00621,0.00219,5.21e-05,0.00427,0,0.00037
"10","Sep",0.00419,0.000269,2.88e-05,0.00424,0,0.000457
"11","Oct",0.00233,0,1.04e-05,0.00209,0,0.000132
"12","Nov",0.00129,0,4.31e-06,0.0038,0,0.000269
"13","Dec",0.000819,0,1.79e-06,0.00317,0,0.000192
