"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00335,2.64e-05,2.96e-05,0.00555,0,0.000633
"2","Jan",0.000793,0,1.64e-06,0.00574,0,0.000615
"3","Feb",0.000989,0,2.23e-06,0.00432,0,0.000318
"4","Mar",0.00166,0,5.2e-06,0.00702,0,0.000647
"5","Apr",0.0028,0.000849,1.22e-05,0.00547,0,0.000557
"6","May",0.00482,0.0023,3.37e-05,0.00556,0,0.000484
"7","Jun",0.00693,0.00379,6.09e-05,0.00548,0,0.000692
"8","Jul",0.00749,0.00381,7.14e-05,0.00584,0,0.000802
"9","Aug",0.00612,0.00223,5.15e-05,0.00495,0,0.000623
"10","Sep",0.00428,0.000339,3.11e-05,0.00765,0,0.00106
"11","Oct",0.00224,0,9.71e-06,0.00371,0,0.000422
"12","Nov",0.0012,0,3.68e-06,0.00574,0,0.000796
"13","Dec",0.000785,0,1.63e-06,0.00508,0,0.000565
