"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00328,0,2.58e-05,0.00535,0,0.000589
"2","Jan",0.000947,0,2.26e-06,0.00651,0,0.000856
"3","Feb",0.00113,0,2.94e-06,0.00497,0,0.00036
"4","Mar",0.00185,2.18e-05,6.39e-06,0.00662,0,0.000546
"5","Apr",0.00299,0.000842,1.43e-05,0.00537,0,0.00071
"6","May",0.00466,0.00211,3e-05,0.00518,0,0.00043
"7","Jun",0.00595,0.00303,4.47e-05,0.00646,0,0.000774
"8","Jul",0.00684,0.00317,5.8e-05,0.0056,0,0.000588
"9","Aug",0.00616,0.00194,5.16e-05,0.00448,0,0.000601
"10","Sep",0.00414,0.000201,2.77e-05,0.0064,0,0.000913
"11","Oct",0.00235,0,1.04e-05,0.0027,0,0.000227
"12","Nov",0.00138,0,4.71e-06,0.00529,0,0.000673
"13","Dec",0.000885,0,2.07e-06,0.00469,0,0.000381
