"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00364,2.22e-05,3.38e-05,0.00549,0,0.00077
"2","Jan",0.000928,0,2.23e-06,0.00558,0,0.000586
"3","Feb",0.00113,0,2.96e-06,0.00433,0,0.000481
"4","Mar",0.0019,0,6.73e-06,0.00665,0,0.000706
"5","Apr",0.00312,0.000894,1.53e-05,0.00481,0,0.000497
"6","May",0.00512,0.00243,3.74e-05,0.00489,0,0.000428
"7","Jun",0.00745,0.00412,6.96e-05,0.00696,0,0.000985
"8","Jul",0.00785,0.00378,7.94e-05,0.00562,0,0.000642
"9","Aug",0.00663,0.00233,6.04e-05,0.00464,0,0.000797
"10","Sep",0.0046,0.000292,3.59e-05,0.00803,0,0.00162
"11","Oct",0.00249,0,1.19e-05,0.00342,0,0.00048
"12","Nov",0.00139,0,4.89e-06,0.00604,0,0.00135
"13","Dec",0.00088,0,2.06e-06,0.0049,0,0.000678
