"","overall.mean","jan.low.flow","feb.low.flow","mar.low.flow","apr.low.flow","may.low.flow","jun.low.flow","jul.low.flow","aug.low.flow","sep.low.flow","oct.low.flow","nov.low.flow","dec.low.flow","jan.mean.flow","feb.mean.flow","mar.mean.flow","apr.mean.flow","may.mean.flow","jun.mean.flow","jul.mean.flow","aug.mean.flow","sep.mean.flow","oct.mean.flow","nov.mean.flow","dec.mean.flow","jan.high.flow","feb.high.flow","mar.high.flow","apr.high.flow","may.high.flow","jun.high.flow","jul.high.flow","aug.high.flow","sep.high.flow","oct.high.flow","nov.high.flow","dec.high.flow","one.day.min","three.day.min","seven.day.min","thirty.day.min","ninety.day.min","one.day.med.min","three.day.med.min","seven.day.med.min","thirty.day.med.min","ninety.day.med.min","one.day.max","three.day.max","seven.day.max","thirty.day.max","ninety.day.max","one.day.med.max","three.day.med.max","seven.day.med.max","thirty.day.med.max","ninety.day.med.max","lowest.yearly.mean","sevenQ.ten","drought.record","sept.10.percent","flow.exceedance.1","flow.exceedance.5","flow.exceedance.50","flow.exceedance.95","flow.exceedance.99"
"Scenario1",8040,1730,2420,4240,5280,6310,6400,4740,3570,2180,1770,1270,1320,11800,12100,13900,11700,8380,5570,3670,3280,5410,5250,7160,8580,5520,13800,14100,23900,17100,22600,20700,13300,7700,4530,3920,5590,465,473,490,609,1080,833,856,928,1290,2800,122000,110000,74500,42800,30600,68900,60800,43400,21800,14400,NA,567,1999,996,650,1080,5360,23700,48900
"Scenario2",7690,1640,2250,4560,5040,5320,5250,4690,3230,2240,1690,1540,1170,9990,10900,12900,11200,8120,6020,3710,3220,6120,4970,7050,8330,5500,13600,12200,20800,15700,21900,24400,11000,7300,5310,3900,3940,371,371,377,471,941,826,856,943,1320,2500,132000,113000,86500,36600,27900,61900,50000,34400,19000,13400,NA,515,1999,861,573,952,5140,23300,48300
"Percent Difference",4.35323383084577,5.20231213872832,7.02479338842975,7.54716981132075,4.54545454545455,15.689381933439,17.96875,1.05485232067511,9.52380952380952,2.75229357798165,4.51977401129944,21.259842519685,11.3636363636364,15.3389830508475,9.91735537190083,7.19424460431655,4.27350427350427,3.10262529832936,8.07899461400359,1.08991825613079,1.82926829268293,13.1238447319778,5.33333333333333,1.53631284916201,2.91375291375291,0.36231884057971,1.44927536231884,13.4751773049645,12.9707112970711,8.18713450292398,3.09734513274336,17.8743961352657,17.2932330827068,5.19480519480519,17.2185430463576,0.510204081632653,29.5169946332737,20.2150537634409,21.5644820295983,23.0612244897959,22.6600985221675,12.8703703703704,0.840336134453782,0,1.61637931034483,2.32558139534884,10.7142857142857,8.19672131147541,2.72727272727273,16.1073825503356,14.4859813084112,8.82352941176471,10.1596516690856,17.7631578947368,20.7373271889401,12.8440366972477,6.94444444444444,NA,9.1710758377425,0,13.5542168674699,11.8461538461538,11.8518518518519,4.1044776119403,1.68776371308017,1.22699386503067
