"","overall.mean","jan.low.flow","feb.low.flow","mar.low.flow","apr.low.flow","may.low.flow","jun.low.flow","jul.low.flow","aug.low.flow","sep.low.flow","oct.low.flow","nov.low.flow","dec.low.flow","jan.mean.flow","feb.mean.flow","mar.mean.flow","apr.mean.flow","may.mean.flow","jun.mean.flow","jul.mean.flow","aug.mean.flow","sep.mean.flow","oct.mean.flow","nov.mean.flow","dec.mean.flow","jan.high.flow","feb.high.flow","mar.high.flow","apr.high.flow","may.high.flow","jun.high.flow","jul.high.flow","aug.high.flow","sep.high.flow","oct.high.flow","nov.high.flow","dec.high.flow","one.day.min","three.day.min","seven.day.min","thirty.day.min","ninety.day.min","one.day.med.min","three.day.med.min","seven.day.med.min","thirty.day.med.min","ninety.day.med.min","one.day.max","three.day.max","seven.day.max","thirty.day.max","ninety.day.max","one.day.med.max","three.day.med.max","seven.day.med.max","thirty.day.med.max","ninety.day.med.max","lowest.yearly.mean","sevenQ.ten","drought.record","sept.10.percent","flow.exceedance.1","flow.exceedance.5","flow.exceedance.50","flow.exceedance.95","flow.exceedance.99"
"Scenario1",12100,1940,3150,6640,7700,8580,9260,8800,6040,3270,2140,1800,1470,16400,17100,22600,17200,13700,7900,5160,5170,6390,6890,12300,14200,6800,20100,25200,26600,23000,55500,24100,23600,13800,7310,6150,6700,212,216,238,587,1100,773,804,876,1820,3160,264000,230000,148000,53600,40300,63200,57900,47500,30800,20800,NA,350,1999,855,489,1200,8130,37200,68600
"Scenario2",11700,1920,3380,6680,6680,8190,8880,8870,6390,3440,2360,1960,1100,14000,15200,21600,17800,13400,9100,5280,4810,7870,6690,11000,13400,6950,15300,21700,23300,20600,51700,27500,24400,14400,7110,6890,5690,108,127,149,383,932,740,785,813,1490,3100,256000,222000,141000,53500,36800,60100,54400,47000,29800,20300,NA,200,1999,701,378,1060,8070,35800,68600
"Percent Difference",3.30578512396694,1.03092783505155,7.3015873015873,0.602409638554217,13.2467532467532,4.54545454545455,4.1036717062635,0.795454545454545,5.79470198675497,5.19877675840979,10.2803738317757,8.88888888888889,25.1700680272109,14.6341463414634,11.1111111111111,4.42477876106195,3.48837209302326,2.18978102189781,15.1898734177215,2.32558139534884,6.96324951644101,23.1611893583725,2.90275761973875,10.5691056910569,5.63380281690141,2.20588235294118,23.8805970149254,13.8888888888889,12.406015037594,10.4347826086957,6.84684684684685,14.1078838174274,3.38983050847458,4.34782608695652,2.7359781121751,12.0325203252033,15.0746268656716,49.0566037735849,41.2037037037037,37.3949579831933,34.7529812606474,15.2727272727273,4.26908150064683,2.36318407960199,7.19178082191781,18.1318681318681,1.89873417721519,3.03030303030303,3.47826086956522,4.72972972972973,0.186567164179104,8.6848635235732,4.90506329113924,6.04490500863558,1.05263157894737,3.24675324675325,2.40384615384615,NA,42.8571428571429,0,18.0116959064327,22.6993865030675,11.6666666666667,0.738007380073801,3.76344086021505,0
