"","overall.mean","jan.low.flow","feb.low.flow","mar.low.flow","apr.low.flow","may.low.flow","jun.low.flow","jul.low.flow","aug.low.flow","sep.low.flow","oct.low.flow","nov.low.flow","dec.low.flow","jan.mean.flow","feb.mean.flow","mar.mean.flow","apr.mean.flow","may.mean.flow","jun.mean.flow","jul.mean.flow","aug.mean.flow","sep.mean.flow","oct.mean.flow","nov.mean.flow","dec.mean.flow","jan.high.flow","feb.high.flow","mar.high.flow","apr.high.flow","may.high.flow","jun.high.flow","jul.high.flow","aug.high.flow","sep.high.flow","oct.high.flow","nov.high.flow","dec.high.flow","one.day.min","three.day.min","seven.day.min","thirty.day.min","ninety.day.min","one.day.med.min","three.day.med.min","seven.day.med.min","thirty.day.med.min","ninety.day.med.min","one.day.max","three.day.max","seven.day.max","thirty.day.max","ninety.day.max","one.day.med.max","three.day.med.max","seven.day.med.max","thirty.day.med.max","ninety.day.med.max","lowest.yearly.mean","sevenQ.ten","drought.record","sept.10.percent","flow.exceedance.1","flow.exceedance.5","flow.exceedance.50","flow.exceedance.95","flow.exceedance.99"
"Scenario1",993,142,190,348,570,726,628,471,411,219,121,130,120,1620,1800,2040,1300,940,475,345,331,433,588,898,1200,742,2280,3210,4490,3290,4420,2600,1470,728,624,596,605,52.6,52.9,55,66.1,116,93.9,97.9,108,137,258,22600,20300,13600,8130,5290,9360,8240,6130,2840,1700,NA,58.5,1999,84.9,64.5,103,549,3340,8300
"Scenario2",920,126,180,356,532,633,548,478,359,232,118,148,89.8,1340,1570,1840,1270,876,533,343,321,574,480,820,1110,659,1760,2980,3660,2300,4470,3310,1260,691,647,548,438,46.2,46.2,46.7,55.3,87.3,82.2,85.3,92.6,111,227,22700,18700,13900,7010,4740,9860,8490,5960,2410,1630,NA,54.9,2002,79.7,56.8,88.8,518,3090,7520
"Percent Difference",7.35146022155086,11.2676056338028,5.26315789473684,2.29885057471264,6.66666666666667,12.8099173553719,12.7388535031847,1.48619957537155,12.6520681265207,5.93607305936073,2.47933884297521,13.8461538461538,25.1666666666667,17.2839506172839,12.7777777777778,9.80392156862745,2.30769230769231,6.80851063829787,12.2105263157895,0.579710144927536,3.02114803625378,32.5635103926097,18.3673469387755,8.68596881959911,7.5,11.1859838274933,22.8070175438596,7.16510903426791,18.4855233853007,30.0911854103343,1.13122171945701,27.3076923076923,14.2857142857143,5.08241758241758,3.68589743589744,8.05369127516778,27.603305785124,12.1673003802281,12.6654064272212,15.0909090909091,16.338880484115,24.7413793103448,12.4600638977636,12.8702757916241,14.2592592592593,18.978102189781,12.015503875969,0.442477876106195,7.88177339901478,2.20588235294118,13.7761377613776,10.3969754253308,5.34188034188034,3.03398058252427,2.77324632952692,15.1408450704225,4.11764705882353,NA,6.15384615384616,0.150075037518759,6.12485276796231,11.937984496124,13.7864077669903,5.64663023679417,7.48502994011976,9.39759036144578
