"","overall.mean","jan.low.flow","feb.low.flow","mar.low.flow","apr.low.flow","may.low.flow","jun.low.flow","jul.low.flow","aug.low.flow","sep.low.flow","oct.low.flow","nov.low.flow","dec.low.flow","jan.mean.flow","feb.mean.flow","mar.mean.flow","apr.mean.flow","may.mean.flow","jun.mean.flow","jul.mean.flow","aug.mean.flow","sep.mean.flow","oct.mean.flow","nov.mean.flow","dec.mean.flow","jan.high.flow","feb.high.flow","mar.high.flow","apr.high.flow","may.high.flow","jun.high.flow","jul.high.flow","aug.high.flow","sep.high.flow","oct.high.flow","nov.high.flow","dec.high.flow","one.day.min","three.day.min","seven.day.min","thirty.day.min","ninety.day.min","one.day.med.min","three.day.med.min","seven.day.med.min","thirty.day.med.min","ninety.day.med.min","one.day.max","three.day.max","seven.day.max","thirty.day.max","ninety.day.max","one.day.med.max","three.day.med.max","seven.day.med.max","thirty.day.med.max","ninety.day.med.max","lowest.yearly.mean","sevenQ.ten","drought.record","sept.10.percent","flow.exceedance.1","flow.exceedance.5","flow.exceedance.50","flow.exceedance.95","flow.exceedance.99"
"Scenario1",581,204,277,365,442,429,533,292,216,201,210,264,202,643,701,806,631,661,411,642,507,367,345,605,647,548,777,921,922,816,1040,1130,1840,889,950,717,555,198,198,199,200,204,199,199,199,209,348,15500,9590,6290,2650,1470,2780,2310,1810,1090,825,337.81563535447,199,1999,200,199,201,478,1320,2250
"Scenario2",577,205,286,336,301,390,508,281,218,203,210,264,202,580,602,789,683,670,448,653,520,428,364,589,596,568,802,940,909,763,915,1350,1880,879,955,752,509,198,199,199,200,204,199,199,199,210,335,15400,9530,6270,2650,1500,2720,2200,1730,1050,838,321.594686209759,199,1999,199,199,201,472,1300,2470
"Percent Difference",0.688468158347676,0.490196078431373,3.24909747292419,7.94520547945206,31.9004524886878,9.09090909090909,4.69043151969981,3.76712328767123,0.925925925925926,0.995024875621891,0,0,0,9.79782270606532,14.1226818830243,2.10918114143921,8.24088748019017,1.36157337367625,9.00243309002433,1.71339563862928,2.56410256410256,16.6212534059946,5.50724637681159,2.64462809917355,7.88253477588872,3.64963503649635,3.21750321750322,2.06297502714441,1.40997830802603,6.49509803921569,12.0192307692308,19.4690265486726,2.17391304347826,1.12485939257593,0.526315789473684,4.88145048814505,8.28828828828829,0,0.505050505050505,0,0,0,0,0,0,0.478468899521531,3.73563218390805,0.645161290322581,0.625651720542232,0.317965023847377,0,2.04081632653061,2.15827338129496,4.76190476190476,4.41988950276243,3.6697247706422,1.57575757575758,4.80171651252614,0,0,0.5,0,0,1.25523012552301,1.51515151515152,9.77777777777778
