"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00341,2.55e-05,3.05e-05,0.00409,0,0.000316
"2","Jan",0.000784,0,1.6e-06,0.0042,0,0.000273
"3","Feb",0.000958,0,2.11e-06,0.00347,0,0.000241
"4","Mar",0.00171,0,5.54e-06,0.00551,0,0.000384
"5","Apr",0.00285,0.000851,1.27e-05,0.00416,0,0.000294
"6","May",0.00486,0.00234,3.38e-05,0.00407,0,0.00021
"7","Jun",0.00706,0.00386,6.24e-05,0.00425,0,0.000341
"8","Jul",0.00754,0.00379,7.26e-05,0.00431,0,0.00034
"9","Aug",0.00632,0.00228,5.47e-05,0.00381,0,0.000335
"10","Sep",0.00438,0.000307,3.24e-05,0.00527,0,0.00051
"11","Oct",0.00227,0,9.89e-06,0.00233,0,0.000178
"12","Nov",0.00125,0,3.98e-06,0.00412,0,0.000442
"13","Dec",0.000774,0,1.6e-06,0.00356,0,0.000236
