"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00387,1.72e-05,3.63e-05,0.00479,0,0.000549
"2","Jan",0.00115,0,3.2e-06,0.00537,0,0.000462
"3","Feb",0.00138,0,4.22e-06,0.00413,0,0.000356
"4","Mar",0.0021,0,7.97e-06,0.00566,0,0.000491
"5","Apr",0.00333,0.000921,1.7e-05,0.00433,0,0.000431
"6","May",0.00508,0.00213,3.73e-05,0.00408,0,0.000344
"7","Jun",0.00758,0.00411,7.26e-05,0.00417,0,0.000432
"8","Jul",0.00833,0.00388,8.98e-05,0.00711,0,0.00117
"9","Aug",0.00658,0.00215,6.03e-05,0.00516,0,0.000506
"10","Sep",0.00512,0.000478,4.18e-05,0.00551,0,0.000754
"11","Oct",0.00283,0,1.49e-05,0.00448,0,0.00101
"12","Nov",0.00176,0,7.25e-06,0.00364,0,0.000313
"13","Dec",0.00108,0,2.96e-06,0.00369,0,0.000288
