"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00321,2.54e-05,2.64e-05,0.00383,0,0.000227
"2","Jan",0.00075,0,1.49e-06,0.00398,0,0.000186
"3","Feb",0.000916,0,1.94e-06,0.00377,0,0.000198
"4","Mar",0.00164,1.31e-05,5.14e-06,0.0052,0,0.000245
"5","Apr",0.00277,0.000818,1.22e-05,0.0046,0,0.000308
"6","May",0.00458,0.00223,2.92e-05,0.0042,0,0.000216
"7","Jun",0.00665,0.00367,5.44e-05,0.00391,0,0.000238
"8","Jul",0.00691,0.00355,5.98e-05,0.00407,0,0.000261
"9","Aug",0.00597,0.00222,4.81e-05,0.00365,0,0.000278
"10","Sep",0.00409,0.000279,2.75e-05,0.00391,0,0.000342
"11","Oct",0.00219,0,9.22e-06,0.00189,0,8.44e-05
"12","Nov",0.0012,0,3.73e-06,0.00366,0,0.000199
"13","Dec",0.000744,0,1.5e-06,0.00312,0,0.000167
