"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00372,2.41e-05,3.45e-05,0.00465,0,0.000574
"2","Jan",0.00102,0,2.53e-06,0.00517,0,0.000576
"3","Feb",0.00124,0,3.39e-06,0.00453,0,0.000623
"4","Mar",0.00194,0,6.79e-06,0.00628,0,0.000787
"5","Apr",0.00314,0.000907,1.49e-05,0.00422,0,0.000531
"6","May",0.00493,0.00222,3.47e-05,0.00441,0,0.000393
"7","Jun",0.00739,0.00391,6.98e-05,0.00432,0,0.000459
"8","Jul",0.00821,0.00404,8.64e-05,0.00618,0,0.000862
"9","Aug",0.0065,0.0022,5.86e-05,0.004,0,0.000495
"10","Sep",0.00491,0.000442,3.95e-05,0.00523,0,0.000538
"11","Oct",0.00264,0,1.3e-05,0.00384,0,0.000678
"12","Nov",0.00159,0,5.95e-06,0.00335,0,0.000423
"13","Dec",0.000967,0,2.38e-06,0.00425,0,0.000505
