"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00381,1.2e-05,3.68e-05,0.00458,0,0.00051
"2","Jan",0.00105,0,2.82e-06,0.00535,0,0.000489
"3","Feb",0.00125,0,3.65e-06,0.00396,0,0.000267
"4","Mar",0.00207,0,7.91e-06,0.00607,0,0.000646
"5","Apr",0.00333,0.000948,1.73e-05,0.00449,0,0.000508
"6","May",0.00515,0.00233,3.81e-05,0.00453,0,0.000444
"7","Jun",0.00778,0.00398,7.89e-05,0.00394,0,0.000389
"8","Jul",0.00829,0.00401,8.85e-05,0.00571,0,0.000827
"9","Aug",0.00668,0.0022,6.26e-05,0.00407,0,0.000475
"10","Sep",0.0049,0.00038,3.99e-05,0.00612,0,0.000879
"11","Oct",0.00259,0,1.27e-05,0.00344,0,0.000445
"12","Nov",0.00157,0,6.06e-06,0.00346,0,0.00037
"13","Dec",0.000938,0,2.32e-06,0.00373,0,0.000353
