"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00343,8.78e-06,2.91e-05,0.00474,0,0.000437
"2","Jan",0.000929,0,2.22e-06,0.00565,0,0.000576
"3","Feb",0.00111,0,2.83e-06,0.00439,0,0.000309
"4","Mar",0.00188,2.86e-05,6.46e-06,0.00585,0,0.000442
"5","Apr",0.00299,0.000868,1.4e-05,0.00463,0,0.00048
"6","May",0.0047,0.00223,3.05e-05,0.0048,0,0.000347
"7","Jun",0.00694,0.00356,6.11e-05,0.00528,0,0.000519
"8","Jul",0.00716,0.00344,6.46e-05,0.0051,0,0.000465
"9","Aug",0.00633,0.00206,5.53e-05,0.0036,0,0.000262
"10","Sep",0.00432,0.000235,3.06e-05,0.00613,0,0.000761
"11","Oct",0.00236,0,1.06e-05,0.00265,0,0.00023
"12","Nov",0.00141,0,4.98e-06,0.00478,0,0.000549
"13","Dec",0.000843,0,1.89e-06,0.00408,0,0.000306
