"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00391,2.23e-05,3.76e-05,0.00493,0,0.000488
"2","Jan",0.00114,0,3.25e-06,0.0055,0,0.000481
"3","Feb",0.00138,0,4.32e-06,0.00412,0,0.000347
"4","Mar",0.00216,0,8.56e-06,0.00581,0,0.000482
"5","Apr",0.00343,0.000963,1.82e-05,0.00433,0,0.000364
"6","May",0.00522,0.0022,3.97e-05,0.00416,0,0.000298
"7","Jun",0.00783,0.00415,7.8e-05,0.00457,0,0.000364
"8","Jul",0.0084,0.004,9.2e-05,0.00713,0,0.000941
"9","Aug",0.00664,0.00213,6.17e-05,0.00565,0,0.000466
"10","Sep",0.0051,0.00043,4.2e-05,0.00593,0,0.000714
"11","Oct",0.00276,0,1.44e-05,0.00448,0,0.00084
"12","Nov",0.00172,0,7.03e-06,0.00365,0,0.000258
"13","Dec",0.00104,0,2.81e-06,0.00371,0,0.000271
