"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.0036,2.9e-05,3.39e-05,0.00455,0,0.00047
"2","Jan",0.000877,0,1.97e-06,0.00494,0,0.00042
"3","Feb",0.0011,0,2.73e-06,0.00431,0,0.000414
"4","Mar",0.00183,0,6.21e-06,0.00612,0,0.00051
"5","Apr",0.00302,0.000881,1.41e-05,0.00407,0,0.000334
"6","May",0.005,0.00231,3.63e-05,0.00426,0,0.000348
"7","Jun",0.00732,0.0039,6.93e-05,0.00402,0,0.000384
"8","Jul",0.00812,0.00417,8.42e-05,0.00463,0,0.000482
"9","Aug",0.00655,0.00233,5.92e-05,0.00409,0,0.000543
"10","Sep",0.00468,0.000386,3.67e-05,0.0064,0,0.000851
"11","Oct",0.00239,0,1.1e-05,0.00336,0,0.000382
"12","Nov",0.00138,0,4.64e-06,0.00433,0,0.000592
"13","Dec",0.00085,0,1.9e-06,0.0041,0,0.000371
