"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00305,1.05e-06,2.24e-05,0.0042,0,0.000332
"2","Jan",0.000832,0,1.77e-06,0.00471,0,0.000413
"3","Feb",0.00101,0,2.35e-06,0.00423,0,0.000254
"4","Mar",0.00171,9.72e-06,5.49e-06,0.00563,0,0.000369
"5","Apr",0.00278,0.00074,1.25e-05,0.00426,0,0.000405
"6","May",0.0043,0.00188,2.57e-05,0.00464,0,0.000326
"7","Jun",0.00556,0.00276,3.88e-05,0.0049,0,0.000422
"8","Jul",0.00641,0.00292,5.05e-05,0.00445,0,0.000325
"9","Aug",0.00575,0.00192,4.49e-05,0.00383,0,0.000397
"10","Sep",0.00383,0.000166,2.36e-05,0.00445,0,0.000494
"11","Oct",0.00219,0,8.98e-06,0.00187,0,8.66e-05
"12","Nov",0.00131,0,4.19e-06,0.00386,0,0.000297
"13","Dec",0.000822,0,1.79e-06,0.0036,0,0.000194
