"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.0036,2.75e-05,3.33e-05,0.0056,0,0.000652
"2","Jan",0.000888,0,1.99e-06,0.00572,0,0.000568
"3","Feb",0.00109,0,2.63e-06,0.00464,0,0.000479
"4","Mar",0.00185,0,6.4e-06,0.00697,0,0.000677
"5","Apr",0.00302,0.000905,1.42e-05,0.00578,0,0.000633
"6","May",0.00509,0.00246,3.69e-05,0.00541,0,0.000412
"7","Jun",0.0073,0.00399,6.66e-05,0.00616,0,0.000805
"8","Jul",0.00791,0.00401,7.99e-05,0.00609,0,0.000727
"9","Aug",0.00663,0.00239,6e-05,0.00511,0,0.000629
"10","Sep",0.00462,0.000324,3.59e-05,0.00684,0,0.000916
"11","Oct",0.0024,0,1.1e-05,0.00363,0,0.000483
"12","Nov",0.00133,0,4.45e-06,0.00586,0,0.000977
"13","Dec",0.000858,0,1.93e-06,0.00494,0,0.000515
