"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00336,1.82e-05,2.82e-05,0.00666,0,0.00112
"2","Jan",0.000914,0,2.14e-06,0.00794,0,0.00153
"3","Feb",0.00111,0,2.75e-06,0.00536,0,0.000907
"4","Mar",0.00181,1.16e-05,6.06e-06,0.00782,0,0.000994
"5","Apr",0.00291,0.000849,1.34e-05,0.00608,0,0.000812
"6","May",0.00467,0.00219,3.09e-05,0.00562,0,0.000658
"7","Jun",0.00681,0.00372,5.78e-05,0.00822,0,0.00153
"8","Jul",0.0071,0.00346,6.42e-05,0.0074,0,0.00104
"9","Aug",0.00614,0.00217,5.11e-05,0.00551,0,0.00103
"10","Sep",0.00427,0.00026,3.05e-05,0.00924,0,0.00207
"11","Oct",0.0023,0,1.02e-05,0.004,0,0.000644
"12","Nov",0.00133,0,4.52e-06,0.007,0,0.00144
"13","Dec",0.000845,0,1.87e-06,0.00573,0,0.000805
