"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00346,1.6e-05,2.95e-05,0.00455,0,0.000401
"2","Jan",0.000925,0,2.19e-06,0.00426,0,0.000277
"3","Feb",0.00112,0,2.86e-06,0.00397,0,0.000296
"4","Mar",0.00187,2.49e-05,6.48e-06,0.00603,0,0.000432
"5","Apr",0.00302,0.000893,1.46e-05,0.00439,0,0.000357
"6","May",0.0048,0.00228,3.2e-05,0.0047,0,0.000383
"7","Jun",0.00699,0.00386,6.01e-05,0.00566,0,0.000626
"8","Jul",0.00726,0.00359,6.57e-05,0.00555,0,0.000516
"9","Aug",0.0064,0.00225,5.52e-05,0.00499,0,0.000526
"10","Sep",0.00436,0.00028,3.11e-05,0.00479,0,0.000592
"11","Oct",0.00238,0,1.08e-05,0.00242,0,0.000184
"12","Nov",0.00136,0,4.73e-06,0.0042,0,0.000339
"13","Dec",0.000856,0,1.94e-06,0.00366,0,0.000269
