"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00296,5.71e-06,2.08e-05,0.00572,0,0.000578
"2","Jan",0.000872,0,1.93e-06,0.00647,0,0.000791
"3","Feb",0.00104,0,2.48e-06,0.00522,0,0.000369
"4","Mar",0.00167,1.94e-05,5.18e-06,0.00757,0,0.000634
"5","Apr",0.00267,0.00075,1.14e-05,0.00543,0,0.000595
"6","May",0.00409,0.00188,2.29e-05,0.00615,0,0.000534
"7","Jun",0.00569,0.00298,4.06e-05,0.00678,0,0.000804
"8","Jul",0.00607,0.0029,4.5e-05,0.00616,0,0.000591
"9","Aug",0.00545,0.00191,3.99e-05,0.0053,0,0.000594
"10","Sep",0.00371,0.000196,2.22e-05,0.00599,0,0.000776
"11","Oct",0.00209,0,8.26e-06,0.00303,0,0.000232
"12","Nov",0.00124,0,3.86e-06,0.00535,0,0.000522
"13","Dec",0.000797,0,1.69e-06,0.00519,0,0.000474
