"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00397,2.34e-05,3.72e-05,0.00671,0,0.00127
"2","Jan",0.00122,0,3.48e-06,0.00681,0,0.00088
"3","Feb",0.00147,0,4.57e-06,0.00533,0,0.000663
"4","Mar",0.00217,0,8.3e-06,0.00792,0,0.00115
"5","Apr",0.0034,0.000982,1.72e-05,0.006,0,0.000945
"6","May",0.00513,0.00226,3.76e-05,0.00551,0,0.000679
"7","Jun",0.00764,0.00417,7.3e-05,0.00581,0,0.000951
"8","Jul",0.00844,0.00409,9.16e-05,0.0104,0,0.00317
"9","Aug",0.00675,0.00228,6.26e-05,0.00752,0,0.00135
"10","Sep",0.00526,0.000504,4.38e-05,0.00856,0,0.00199
"11","Oct",0.00296,0,1.6e-05,0.0058,0,0.00178
"12","Nov",0.00186,0,7.83e-06,0.00557,0,0.000961
"13","Dec",0.00118,0,3.4e-06,0.00513,0,0.000603
