"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00336,3.19e-05,2.88e-05,0.00501,0,0.000537
"2","Jan",0.000829,0,1.69e-06,0.00547,0,0.000595
"3","Feb",0.00105,0,2.38e-06,0.00436,0,0.000359
"4","Mar",0.00161,0,4.87e-06,0.00707,0,0.00066
"5","Apr",0.00263,0.000807,1.03e-05,0.00441,0,0.000312
"6","May",0.00455,0.00213,2.94e-05,0.00473,0,0.000394
"7","Jun",0.0066,0.00367,5.45e-05,0.00451,0,0.000371
"8","Jul",0.00775,0.00401,7.59e-05,0.00488,0,0.000477
"9","Aug",0.00601,0.00219,4.86e-05,0.00513,0,0.000603
"10","Sep",0.00455,0.000514,3.33e-05,0.00678,0,0.00118
"11","Oct",0.00238,0,1.07e-05,0.00373,0,0.000462
"12","Nov",0.00135,0,4.26e-06,0.00416,0,0.000473
"13","Dec",0.000854,0,1.86e-06,0.00482,0,0.000543
