"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.0037,1.15e-05,3.47e-05,0.00502,0,0.000638
"2","Jan",0.00102,0,2.69e-06,0.006,0,0.000662
"3","Feb",0.00122,0,3.5e-06,0.0041,0,0.000292
"4","Mar",0.002,0,7.39e-06,0.00666,0,0.000815
"5","Apr",0.00321,0.000915,1.61e-05,0.0046,0,0.000537
"6","May",0.00501,0.00227,3.61e-05,0.0048,0,0.00051
"7","Jun",0.00756,0.00387,7.46e-05,0.00455,0,0.000542
"8","Jul",0.00804,0.00388,8.33e-05,0.00601,0,0.000929
"9","Aug",0.00649,0.00213,5.92e-05,0.00478,0,0.000687
"10","Sep",0.00472,0.000365,3.7e-05,0.00688,0,0.00115
"11","Oct",0.00251,0,1.19e-05,0.00397,0,0.000624
"12","Nov",0.00151,0,5.63e-06,0.0038,0,0.000463
"13","Dec",0.000916,0,2.22e-06,0.00396,0,0.000409
