"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00333,3.3e-05,2.87e-05,0.00482,0,0.000546
"2","Jan",0.000807,0,1.59e-06,0.00541,0,0.000552
"3","Feb",0.000991,0,2.12e-06,0.00427,0,0.000429
"4","Mar",0.00158,0,4.57e-06,0.00695,0,0.000688
"5","Apr",0.00261,0.000786,1.03e-05,0.00415,0,0.000305
"6","May",0.0045,0.00215,2.9e-05,0.00426,0,3e-04
"7","Jun",0.0066,0.00361,5.53e-05,0.00432,0,0.000487
"8","Jul",0.0076,0.00391,7.35e-05,0.00486,0,0.000539
"9","Aug",0.00613,0.00226,5.09e-05,0.00453,0,0.000766
"10","Sep",0.00449,0.000431,3.26e-05,0.0062,0,0.000787
"11","Oct",0.00237,0,1.05e-05,0.00393,0,0.000506
"12","Nov",0.00132,0,4.09e-06,0.00437,0,0.000687
"13","Dec",0.000833,0,1.75e-06,0.00453,0,0.000484
