"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00316,2.43e-05,2.66e-05,0.00521,0,0.000553
"2","Jan",0.000708,0,1.35e-06,0.00534,0,0.00052
"3","Feb",0.000889,0,1.85e-06,0.00393,0,0.000254
"4","Mar",0.00154,0,4.56e-06,0.00671,0,0.000578
"5","Apr",0.00261,0.000789,1.07e-05,0.00498,0,0.000448
"6","May",0.00455,0.00215,3.02e-05,0.00502,0,0.00038
"7","Jun",0.00657,0.00359,5.48e-05,0.00539,0,0.000666
"8","Jul",0.00712,0.00361,6.46e-05,0.00567,0,0.000755
"9","Aug",0.0058,0.00212,4.64e-05,0.00462,0,0.000538
"10","Sep",0.00404,0.000319,2.78e-05,0.00739,0,0.000977
"11","Oct",0.00208,0,8.48e-06,0.00353,0,0.000377
"12","Nov",0.00113,0,3.25e-06,0.00536,0,0.000682
"13","Dec",0.00071,0,1.37e-06,0.00457,0,0.000445
