"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00339,2.84e-05,2.88e-05,0.00511,0,0.000661
"2","Jan",0.000896,0,1.91e-06,0.00566,0,0.000802
"3","Feb",0.00108,0,2.47e-06,0.00497,0,0.000668
"4","Mar",0.00166,0,4.9e-06,0.00737,0,0.00095
"5","Apr",0.00268,0.000822,1.07e-05,0.00444,0,0.000443
"6","May",0.00443,0.0021,2.75e-05,0.00432,0,0.000297
"7","Jun",0.0066,0.00365,5.42e-05,0.00516,0,0.000582
"8","Jul",0.00759,0.00381,7.35e-05,0.00605,0,0.000665
"9","Aug",0.00617,0.00222,5.17e-05,0.0048,0,0.00104
"10","Sep",0.00461,0.000447,3.45e-05,0.00589,0,0.000856
"11","Oct",0.00248,0,1.13e-05,0.00398,0,0.000555
"12","Nov",0.00144,0,4.79e-06,0.00404,0,0.00056
"13","Dec",0.000901,0,2e-06,0.00461,0,0.000498
