"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00329,2.91e-05,2.88e-05,0.00503,0,0.000449
"2","Jan",0.000752,0,1.52e-06,0.00521,0,0.00044
"3","Feb",0.000944,0,2.07e-06,0.00393,0,0.000223
"4","Mar",0.00161,0,5.01e-06,0.00667,0,0.000529
"5","Apr",0.00273,0.000815,1.16e-05,0.00467,0,0.000334
"6","May",0.00471,0.00223,3.23e-05,0.00483,0,0.000297
"7","Jun",0.00681,0.00371,5.9e-05,0.00513,0,0.000495
"8","Jul",0.00744,0.00375,7.06e-05,0.00533,0,0.000536
"9","Aug",0.00604,0.00218,5.01e-05,0.00453,0,0.000426
"10","Sep",0.00422,0.000341,3.01e-05,0.00689,0,0.000765
"11","Oct",0.00218,0,9.24e-06,0.00346,0,0.000362
"12","Nov",0.00119,0,3.56e-06,0.00507,0,0.00056
"13","Dec",0.000748,0,1.51e-06,0.00458,0,0.000406
