"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00282,1.5e-06,1.95e-05,0.00462,0,0.000419
"2","Jan",0.000769,0,1.55e-06,0.00549,0,0.000645
"3","Feb",0.000924,0,2.02e-06,0.00396,0,0.000219
"4","Mar",0.00155,1.83e-05,4.57e-06,0.00598,0,0.000406
"5","Apr",0.00253,0.000702,1.03e-05,0.00421,0,0.000397
"6","May",0.00396,0.0018,2.17e-05,0.00518,0,0.000393
"7","Jun",0.00559,0.00295,3.96e-05,0.00534,0,0.000532
"8","Jul",0.00584,0.00278,4.19e-05,0.00522,0,0.000497
"9","Aug",0.00524,0.00178,3.73e-05,0.00423,0,0.000461
"10","Sep",0.00352,0.000194,2.02e-05,0.00503,0,0.000617
"11","Oct",0.00199,0,7.57e-06,0.00228,0,0.000154
"12","Nov",0.00115,0,3.4e-06,0.0045,0,0.000384
"13","Dec",0.000719,0,1.43e-06,0.00397,0,3e-04
