"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00313,1.55e-05,2.53e-05,0.00547,0,0.00075
"2","Jan",0.000777,0,1.62e-06,0.00588,0,0.000746
"3","Feb",0.000944,0,2.09e-06,0.00406,0,0.000488
"4","Mar",0.00162,4e-06,5e-06,0.00644,0,0.000623
"5","Apr",0.00267,0.000767,1.14e-05,0.00485,0,0.000516
"6","May",0.00442,0.0021,2.82e-05,0.00509,0,0.000529
"7","Jun",0.00648,0.00354,5.27e-05,0.00709,0,0.00104
"8","Jul",0.00675,0.00328,5.85e-05,0.00574,0,0.000584
"9","Aug",0.00578,0.00203,4.57e-05,0.00451,0,0.000727
"10","Sep",0.00397,0.000246,2.67e-05,0.00819,0,0.00169
"11","Oct",0.00214,0,8.9e-06,0.00341,0,0.000513
"12","Nov",0.0012,0,3.73e-06,0.00594,0,0.0011
"13","Dec",0.000735,0,1.47e-06,0.00446,0,0.00046
