"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00344,1.52e-05,3e-05,0.00534,0,0.000704
"2","Jan",0.000909,0,2.16e-06,0.00611,0,0.000789
"3","Feb",0.00109,0,2.77e-06,0.00449,0,0.000577
"4","Mar",0.00184,1.36e-05,6.3e-06,0.0065,0,0.000649
"5","Apr",0.00297,0.000858,1.39e-05,0.00432,0,0.000452
"6","May",0.0048,0.00224,3.26e-05,0.00511,0,0.000608
"7","Jun",0.00711,0.00382,6.38e-05,0.00608,0,0.000817
"8","Jul",0.00727,0.00344,6.77e-05,0.00676,0,0.000919
"9","Aug",0.00629,0.00209,5.45e-05,0.00456,0,0.000703
"10","Sep",0.00434,0.000264,3.14e-05,0.00698,0,0.00126
"11","Oct",0.00236,0,1.07e-05,0.00329,0,0.000447
"12","Nov",0.00136,0,4.67e-06,0.0054,0,0.000802
"13","Dec",0.000835,0,1.86e-06,0.00437,0,0.000425
