"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.0031,1.04e-05,2.4e-05,0.00507,0,0.000623
"2","Jan",0.000842,0,1.86e-06,0.00608,0,0.000923
"3","Feb",0.00101,0,2.38e-06,0.00429,0,0.000496
"4","Mar",0.00168,2.85e-05,5.27e-06,0.00632,0,0.000577
"5","Apr",0.00269,0.000779,1.15e-05,0.00443,0,0.000511
"6","May",0.0043,0.00203,2.58e-05,0.00492,0,0.000413
"7","Jun",0.00636,0.00336,5.1e-05,0.0064,0,0.000959
"8","Jul",0.00647,0.00315,5.26e-05,0.00557,0,0.000626
"9","Aug",0.00574,0.00186,4.5e-05,0.00417,0,0.000405
"10","Sep",0.00389,0.000208,2.5e-05,0.00648,0,0.00113
"11","Oct",0.00214,0,8.79e-06,0.00296,0,0.000369
"12","Nov",0.00125,0,3.98e-06,0.00524,0,0.000714
"13","Dec",0.000765,0,1.59e-06,0.00401,0,0.000355
