"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00323,8.56e-06,2.61e-05,0.00436,0,0.000459
"2","Jan",0.000875,0,2.02e-06,0.00487,0,0.00058
"3","Feb",0.00105,0,2.58e-06,0.00353,0,0.00035
"4","Mar",0.00174,2.97e-05,5.7e-06,0.00538,0,0.000456
"5","Apr",0.00281,0.000818,1.27e-05,0.00361,0,0.000338
"6","May",0.00449,0.00212,2.82e-05,0.0045,0,0.000358
"7","Jun",0.00666,0.00357,5.55e-05,0.00565,0,0.000748
"8","Jul",0.0067,0.00327,5.62e-05,0.00504,0,0.000433
"9","Aug",0.00598,0.00196,4.9e-05,0.004,0,0.000371
"10","Sep",0.00405,0.000225,2.72e-05,0.00579,0,0.000904
"11","Oct",0.00223,0,9.61e-06,0.00248,0,0.000245
"12","Nov",0.00129,0,4.31e-06,0.0041,0,0.000455
"13","Dec",0.000794,0,1.72e-06,0.00341,0,0.000268
