"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00348,2.7e-05,3.19e-05,0.0048,0,0.000532
"2","Jan",0.000835,0,1.8e-06,0.00536,0,0.000516
"3","Feb",0.00105,0,2.53e-06,0.00414,0,0.00039
"4","Mar",0.00173,0,5.64e-06,0.00658,0,0.000595
"5","Apr",0.00289,0.000846,1.29e-05,0.0041,0,0.000312
"6","May",0.00482,0.00224,3.39e-05,0.00443,0,0.000356
"7","Jun",0.00705,0.00379,6.44e-05,0.00444,0,0.000478
"8","Jul",0.00792,0.00404,8.02e-05,0.00485,0,0.000528
"9","Aug",0.00636,0.00228,5.58e-05,0.00457,0,0.000669
"10","Sep",0.0045,0.000386,3.41e-05,0.00638,0,0.000806
"11","Oct",0.00232,0,1.03e-05,0.0038,0,0.000471
"12","Nov",0.0013,0,4.16e-06,0.00456,0,0.00081
"13","Dec",0.000818,0,1.76e-06,0.00434,0,0.000443
