"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00295,1e-06,2.09e-05,0.00454,0,0.000398
"2","Jan",0.000812,0,1.7e-06,0.00518,0,0.000517
"3","Feb",0.000986,0,2.25e-06,0.00439,0,0.000277
"4","Mar",0.00165,9.25e-06,5.13e-06,0.00613,0,0.000458
"5","Apr",0.00266,0.000702,1.15e-05,0.00434,0,0.000423
"6","May",0.00418,0.00182,2.43e-05,0.00505,0,0.000401
"7","Jun",0.00538,0.00267,3.64e-05,0.00547,0,0.000541
"8","Jul",0.00618,0.00282,4.7e-05,0.00472,0,0.000372
"9","Aug",0.00557,0.00185,4.22e-05,0.00438,0,0.000526
"10","Sep",0.00367,0.000159,2.17e-05,0.00455,0,0.00052
"11","Oct",0.00211,0,8.42e-06,0.00224,0,0.000135
"12","Nov",0.00125,0,3.84e-06,0.00423,0,0.000366
"13","Dec",0.000792,0,1.68e-06,0.0038,0,0.000223
