"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00313,0,2.36e-05,0.00469,0,0.000448
"2","Jan",0.000869,0,1.94e-06,0.00549,0,0.00064
"3","Feb",0.00105,0,2.56e-06,0.00432,0,0.000276
"4","Mar",0.00175,1.65e-05,5.78e-06,0.00609,0,0.000459
"5","Apr",0.00282,0.000774,1.28e-05,0.00452,0,0.000513
"6","May",0.00443,0.00199,2.73e-05,0.00485,0,0.000398
"7","Jun",0.0057,0.00285,4.11e-05,0.00586,0,0.000647
"8","Jul",0.00656,0.00304,5.33e-05,0.00493,0,0.000434
"9","Aug",0.00589,0.0019,4.75e-05,0.00406,0,0.000492
"10","Sep",0.00393,0.000185,2.51e-05,0.00512,0,0.000578
"11","Oct",0.00223,0,9.38e-06,0.00235,0,0.00016
"12","Nov",0.00131,0,4.28e-06,0.00465,0,5e-04
"13","Dec",0.000828,0,1.84e-06,0.00402,0,0.000272
