"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00358,3.09e-05,3.33e-05,0.00622,0,0.000747
"2","Jan",0.000891,0,2.05e-06,0.00665,0,0.000814
"3","Feb",0.00111,0,2.75e-06,0.00552,0,0.000516
"4","Mar",0.0018,0,6.19e-06,0.00809,0,0.000853
"5","Apr",0.00298,0.000896,1.38e-05,0.00594,0,0.000538
"6","May",0.00503,0.0024,3.64e-05,0.00608,0,0.00053
"7","Jun",0.0072,0.00391,6.59e-05,0.00563,0,0.000749
"8","Jul",0.00809,0.00417,8.33e-05,0.00596,0,0.00072
"9","Aug",0.0065,0.00241,5.79e-05,0.00551,0,0.000721
"10","Sep",0.00464,0.000411,3.62e-05,0.00821,0,0.00118
"11","Oct",0.00238,0,1.1e-05,0.00452,0,6e-04
"12","Nov",0.00132,0,4.29e-06,0.00624,0,0.000837
"13","Dec",0.000864,0,1.96e-06,0.00628,0,0.000889
