"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00374,1.67e-05,3.47e-05,0.00679,0,0.0012
"2","Jan",0.00104,0,2.73e-06,0.00792,0,0.00144
"3","Feb",0.00125,0,3.53e-06,0.00601,0,0.00113
"4","Mar",0.00205,1.57e-05,7.63e-06,0.00824,0,0.00115
"5","Apr",0.00326,0.000953,1.66e-05,0.00569,0,0.000831
"6","May",0.00515,0.00242,3.73e-05,0.00592,0,0.000847
"7","Jun",0.00759,0.00409,7.24e-05,0.00786,0,0.00144
"8","Jul",0.00785,0.00373,7.88e-05,0.00898,0,0.00172
"9","Aug",0.0068,0.00226,6.35e-05,0.00558,0,0.00106
"10","Sep",0.00474,0.000292,3.73e-05,0.00875,0,0.00202
"11","Oct",0.00256,0,1.25e-05,0.00407,0,7e-04
"12","Nov",0.00151,0,5.66e-06,0.00682,0,0.00132
"13","Dec",0.000949,0,2.34e-06,0.00565,0,0.000788
