"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00283,7.83e-06,1.91e-05,0.00605,0,0.000568
"2","Jan",0.000856,0,2.3e-06,0.00637,0,0.000536
"3","Feb",0.000981,0,2.18e-06,0.00581,0,0.000439
"4","Mar",0.00158,1.78e-05,4.66e-06,0.00767,0,0.000598
"5","Apr",0.00255,0.000708,1.04e-05,0.00594,0,0.000565
"6","May",0.00389,0.00183,2.08e-05,0.00713,0,0.00069
"7","Jun",0.00564,0.00297,3.93e-05,0.00663,0,0.000704
"8","Jul",0.00577,0.00291,4.02e-05,0.0074,0,0.00079
"9","Aug",0.00518,0.00191,3.57e-05,0.00584,0,0.000604
"10","Sep",0.00353,0.000194,2e-05,0.00618,0,0.000808
"11","Oct",0.002,0,7.59e-06,0.00308,0,0.000221
"12","Nov",0.00117,0,3.49e-06,0.00507,0,0.000433
"13","Dec",0.000748,0,1.49e-06,0.00543,0,0.000408
