"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00325,5.53e-06,2.49e-05,0.00591,0,0.000677
"2","Jan",0.00094,0,2.19e-06,0.00659,0,0.000795
"3","Feb",0.00115,0,2.96e-06,0.0059,0,0.000526
"4","Mar",0.00186,1.03e-05,6.37e-06,0.00797,0,0.000846
"5","Apr",0.00295,0.000778,1.39e-05,0.00576,0,0.000741
"6","May",0.00456,0.002,2.86e-05,0.00585,0,5e-04
"7","Jun",0.00582,0.00287,4.24e-05,0.00805,0,0.00118
"8","Jul",0.00677,0.00315,5.61e-05,0.00606,0,0.000607
"9","Aug",0.00607,0.002,4.99e-05,0.0053,0,0.000735
"10","Sep",0.00406,0.000167,2.63e-05,0.00619,0,0.000909
"11","Oct",0.00234,0,1.02e-05,0.0028,0,0.000208
"12","Nov",0.00143,0,4.86e-06,0.00554,0,0.000663
"13","Dec",0.000937,0,2.27e-06,0.00502,0,0.000409
