"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00342,1.76e-05,2.96e-05,0.00695,0,0.00126
"2","Jan",0.000906,0,2.11e-06,0.00775,0,0.0014
"3","Feb",0.0011,0,2.74e-06,0.00563,0,0.00102
"4","Mar",0.00182,4.66e-06,6.19e-06,0.00815,0,0.00108
"5","Apr",0.00294,0.00086,1.37e-05,0.00641,0,0.00095
"6","May",0.00477,0.00228,3.25e-05,0.006,0,0.000762
"7","Jun",0.00693,0.00378,6.01e-05,0.00903,0,0.00174
"8","Jul",0.00732,0.00359,6.85e-05,0.00749,0,0.00105
"9","Aug",0.00627,0.0022,5.37e-05,0.00554,0,0.00111
"10","Sep",0.00436,0.000275,3.21e-05,0.0101,0,0.00265
"11","Oct",0.00233,0,1.05e-05,0.0042,0,0.000793
"12","Nov",0.00134,0,4.57e-06,0.00738,0,0.00174
"13","Dec",0.000849,0,1.9e-06,0.00579,0,0.000843
