"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00373,2.29e-05,3.53e-05,0.00648,0,0.00111
"2","Jan",0.000978,0,2.44e-06,0.00687,0,0.00095
"3","Feb",0.0012,0,3.25e-06,0.00541,0,0.000801
"4","Mar",0.00198,0,7.3e-06,0.00775,0,0.00101
"5","Apr",0.00321,0.000923,1.61e-05,0.0057,0,0.000725
"6","May",0.00519,0.00246,3.85e-05,0.00547,0,0.000554
"7","Jun",0.00754,0.00417,7.13e-05,0.00858,0,0.00156
"8","Jul",0.00805,0.00388,8.35e-05,0.00704,0,0.00105
"9","Aug",0.0068,0.00238,6.34e-05,0.00527,0,0.00103
"10","Sep",0.00477,0.000302,3.84e-05,0.00936,0,0.00225
"11","Oct",0.00253,0,1.23e-05,0.00388,0,0.000625
"12","Nov",0.00145,0,5.31e-06,0.00697,0,0.00183
"13","Dec",0.000923,0,2.24e-06,0.00558,0,0.000917
