"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00314,1.06e-05,2.41e-05,0.00516,0,0.000481
"2","Jan",0.000873,0,1.93e-06,0.00522,0,0.000446
"3","Feb",0.00105,0,2.5e-06,0.00453,0,0.000306
"4","Mar",0.00172,2.29e-05,5.48e-06,0.00664,0,0.000528
"5","Apr",0.00277,0.000791,1.23e-05,0.00486,0,0.000433
"6","May",0.00432,0.00204,2.59e-05,0.00557,0,0.000437
"7","Jun",0.00636,0.00345,4.98e-05,0.00624,0,0.000695
"8","Jul",0.0065,0.00328,5.16e-05,0.00638,0,0.000664
"9","Aug",0.00581,0.00205,4.54e-05,0.00512,0,0.000498
"10","Sep",0.00395,0.000223,2.54e-05,0.00578,0,0.000776
"11","Oct",0.00218,0,9.06e-06,0.00256,0,0.000178
"12","Nov",0.00126,0,4.09e-06,0.00479,0,0.00048
"13","Dec",0.000793,0,1.66e-06,0.00426,0,0.000317
