"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00337,0,2.7e-05,0.00624,0,0.000838
"2","Jan",0.000988,0,2.43e-06,0.00743,0,0.00117
"3","Feb",0.0012,0,3.24e-06,0.00581,0,0.000528
"4","Mar",0.00193,2.3e-05,6.89e-06,0.00806,0,0.000892
"5","Apr",0.00306,0.000865,1.48e-05,0.00602,0,0.00092
"6","May",0.00473,0.00214,3.08e-05,0.0057,0,0.000541
"7","Jun",0.00603,0.00307,4.6e-05,0.00846,0,0.00141
"8","Jul",0.00705,0.00327,6.16e-05,0.00642,0,0.000798
"9","Aug",0.0063,0.00199,5.41e-05,0.00494,0,0.000739
"10","Sep",0.00428,0.000208,2.96e-05,0.00734,0,0.00123
"11","Oct",0.0024,0,1.08e-05,0.00309,0,0.00031
"12","Nov",0.00145,0,5.14e-06,0.0062,0,0.000963
"13","Dec",0.000934,0,2.28e-06,0.00543,0,0.000539
