"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.0032,0,2.47e-05,0.00459,0,0.000409
"2","Jan",0.000889,0,2.03e-06,0.00545,0,0.000559
"3","Feb",0.00107,0,2.66e-06,0.00442,0,0.000268
"4","Mar",0.0018,2.1e-05,6.08e-06,0.00583,0,0.000394
"5","Apr",0.0029,0.000817,1.35e-05,0.00467,0,0.000517
"6","May",0.00452,0.00204,2.83e-05,0.00456,0,0.000317
"7","Jun",0.00583,0.00297,4.3e-05,0.0055,0,0.000537
"8","Jul",0.00672,0.00312,5.61e-05,0.00509,0,0.000474
"9","Aug",0.006,0.00189,4.9e-05,0.00364,0,0.00039
"10","Sep",0.00406,0.000198,2.67e-05,0.00524,0,0.000587
"11","Oct",0.00228,0,9.78e-06,0.0021,0,0.000125
"12","Nov",0.00136,0,4.57e-06,0.00451,0,0.000469
"13","Dec",0.000844,0,1.9e-06,0.00406,0,0.000269
