"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00325,1.61e-05,2.71e-05,0.00499,0,0.000608
"2","Jan",0.000805,0,1.72e-06,0.00537,0,0.000606
"3","Feb",0.000978,0,2.22e-06,0.004,0,0.000474
"4","Mar",0.00169,4.27e-06,5.41e-06,0.00597,0,0.00052
"5","Apr",0.00278,0.000807,1.23e-05,0.00474,0,0.000491
"6","May",0.00456,0.00217,2.99e-05,0.00487,0,0.000477
"7","Jun",0.0067,0.00366,5.63e-05,0.00615,0,0.000762
"8","Jul",0.00697,0.0034,6.23e-05,0.00504,0,0.000436
"9","Aug",0.00597,0.0021,4.88e-05,0.00394,0,0.000549
"10","Sep",0.00414,0.000259,2.9e-05,0.00764,0,0.00145
"11","Oct",0.00222,0,9.57e-06,0.0027,0,0.00031
"12","Nov",0.00126,0,4.1e-06,0.00522,0,0.000827
"13","Dec",0.00076,0,1.56e-06,0.00423,0,0.000405
