"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00285,1.69e-05,2.03e-05,0.00453,0,0.000272
"2","Jan",0.000707,0,1.35e-06,0.00458,0,0.000207
"3","Feb",0.000859,0,1.76e-06,0.00501,0,0.000287
"4","Mar",0.00149,2.28e-05,4.34e-06,0.00579,0,0.000265
"5","Apr",0.00253,0.000712,1.04e-05,0.00525,0,0.000325
"6","May",0.00404,0.0019,2.28e-05,0.00544,0,0.00038
"7","Jun",0.00594,0.00321,4.34e-05,0.00467,0,0.00032
"8","Jul",0.00594,0.00313,4.36e-05,0.00536,0,0.00044
"9","Aug",0.00522,0.0019,3.65e-05,0.00442,0,0.000334
"10","Sep",0.00356,0.000207,2.07e-05,0.00386,0,0.000276
"11","Oct",0.00199,0,7.61e-06,0.00227,0,8.21e-05
"12","Nov",0.0011,0,3.16e-06,0.00394,0,0.000184
"13","Dec",0.000681,0,1.27e-06,0.00382,0,0.000162
