"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00333,0,2.69e-05,0.00488,0,0.000488
"2","Jan",0.000924,0,2.17e-06,0.00588,0,0.000538
"3","Feb",0.00111,0,2.85e-06,0.00459,0,0.000289
"4","Mar",0.00187,2.13e-05,6.48e-06,0.00586,0,0.000408
"5","Apr",0.003,0.000855,1.42e-05,0.00528,0,0.00068
"6","May",0.0047,0.00212,3.05e-05,0.00466,0,0.000354
"7","Jun",0.00608,0.00297,4.74e-05,0.00587,0,0.000679
"8","Jul",0.00704,0.0033,6.17e-05,0.00562,0,0.000664
"9","Aug",0.00625,0.00192,5.38e-05,0.00378,0,0.000435
"10","Sep",0.00422,0.000194,2.89e-05,0.006,0,0.000855
"11","Oct",0.00236,0,1.04e-05,0.00216,0,0.000125
"12","Nov",0.00142,0,4.95e-06,0.00469,0,0.000515
"13","Dec",0.000879,0,2.04e-06,0.00419,0,0.000302
