STAID	CATCODE2
1626850	PS2_6490_6420
1627500	PS2_6420_6360
1628500	PS4_5840_5240
1629500	PS5_5240_5200
1631000	PS5_5200_4380
1632000	PS2_5560_5100
1633000	PS3_5100_5080
1634000	PS3_5100_5080
1634500	PS1_4830_5080
1636500	PS5_4370_4150
1637500	PM1_3510_4000
1638480	PM1_4430_4200
1638500	PM7_4200_4410
1639000	PM3_3040_3340
1639500	PM1_3120_3400
1643000	PM4_4040_4410
1643700	PM3_4670_4660
1644000	PM3_4660_4620
1645000	PM1_4250_4500
1646500	PM7_4820_0001
1646502	PM7_4820_0001
1648000	PL1_4460_4780
1649500	PL1_4540_0001
1651000	PL0_4510_0001
1653000	PL0_5090_0000
1653600	PL1_5060_0000
1654000	PL0_5010_5130
1656000	PL2_5470_5360
1658500	PL0_5490_0001
1660400	PL1_5690_0001
1660920	PL2_5300_5630
1661050	PL0_5750_0001
1661500	PL0_5981_0000
1663500	RU3_5610_5640
1664000	RU4_5640_6030
1665500	RU2_6220_6170
1666500	RU2_6200_6170
1667500	RU4_6040_6030
1668000	RL5_6070_0000
1668500	RL1_6322_0000
1669000	RL5_6320_0000
1670400	YP3_6330_6700
1671020	YP3_6700_6670
1671100	YP1_6570_6680
1672500	YP3_6690_6720
1673000	YP4_6750_0001
1673550	YP0_6840_0001
1674000	YM3_6430_6620
1674500	YM4_6620_0001
2011400	JU3_6380_6900
2011460	JU1_6590_6600
2011470	JU1_6590_6600
2011500	JU2_6600_6810
2011800	JU3_6900_6950
2013000	JU2_7140_7330
2013100	JU4_7330_7000
2014000	JU2_7360_7000
2015700	JU1_6300_6650
2016000	JU3_6650_7300
2016500	JU5_7300_7510
2017500	JU1_7630_7490
2018000	JU3_7400_7510
2018500	JU1_7560_7500
2019500	JU5_7420_7160
2020500	JU2_6410_6640
2021500	JU3_6790_7260
2024000	JU4_7260_7380
2025500	JL6_7160_7440
2026000	JL6_7430_7320
2027000	JL1_7200_7250
2027500	JL1_7190_7250
2027800	JL2_7350_7090
2028500	JL2_6850_6890
2029000	JL6_6890_6990
2030000	JL1_6910_6960
2030500	JL2_7120_6970
2031000	JL1_6560_6440
2032515	JL2_6441_6520
2032680	JL2_6240_6520
2034000	JL4_6710_6740
2035000	JL7_7030_6800
2037000	JL7_6800_7070
2037500	JB7_7070_0001
2039500	JA2_7550_7280
2040000	JA4_7340_7470
2041000	JA2_7570_7480
2041650	JA5_7520_0000
2042500	JB3_6820_7053
1485000	EL2_5270_0001
1658000	PL0_5450_0000
1610155	PU1_3100_3690
1621410	PS0_6150_6160
MCN0017	PL0_5830_0001
GIC0004	PL0_5510_0001
CLA0019	PL0_5710_0001
NAJ0110	PL0_5585_0000
GEO0009	PU1_3940_3970
WIL0067	PU2_3140_3680
EVI0118	PU1_3580_3780
TOW0283	PU2_3370_4020
TOC0038	PU1_3030_3440
LIC0094	PU2_3080_3640
ANT0366	PU2_3090_4050
CBJ0001	PM0_4640_4820
1594526	XL1_4690_0001
1646580	PL7_4910_0000
1576540	SL1_2390_2420
