"","Model 1","Model 2","Pct. Error"
"Overall Mean Flow",11700,11700,0
"Jan. Mean Flow",14000,13500,-3.57
"Feb. Mean Flow",15200,17500,15.1
"Mar. Mean Flow",21600,23900,10.6
"Apr. Mean Flow",17800,18400,3.37
"May Mean Flow",13400,13200,-1.49
"Jun. Mean Flow",9100,8730,-4.07
"Jul. Mean Flow",5280,5390,2.08
"Aug. Mean Flow",4810,4930,2.49
"Sep. Mean Flow",7870,7810,-0.762
"Oct. Mean Flow",6690,6300,-5.83
"Nov. Mean Flow",11000,9530,-13.4
"Dec. Mean Flow",13400,11300,-15.7
