"","Model 1","Model 2","Pct. Error"
"1% Non-Exceedance",266,378,42.1
"5% Non-Exceedance",940,1060,12.8
"50% Non-Exceedance",7480,8070,7.89
"95% Non-Exceedance",38200,35800,-6.28
"99% Non-Exceedance",73700,68600,-6.92
"Sept. 10% Non-Exceedance",706,701,-0.708
