"","Model 1","Model 2","Pct. Error"
"Max. 1 Day Max",226000,256000,13.3
"Med. 1 Day Max",77300,60100,-22.3
"Max. 3 Day Max",185000,222000,20
"Med. 3 Day Max",67000,54400,-18.8
"Max. 7 Day Max",116000,141000,21.6
"Med. 7 Day Max",49000,47000,-4.08
"Max. 30 Day Max",64300,53500,-16.8
"Med. 30 Day Max",31100,29800,-4.18
"Max. 90 Day Max",45400,36800,-18.9
"Med. 90 Day Max",21000,20300,-3.33
