"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0,3.65,Inf
"Med. 1 Day Min",3.1,8.13,162
"Min. 3 Day Min",-2.37e-15,3.65,-1.54e+17
"Med. 3 Day Min",4.33,8.42,94.5
"Min. 7 Day Min",0,3.71,Inf
"Med. 7 Day Min",5.17,9.27,79.3
"Min. 30 Day Min",-1.21e-13,4.63,-3.83e+15
"Med. 30 Day Min",10.3,12.9,25.2
"Min. 90 Day Min",0,9.26,Inf
"Med. 90 Day Min",43.7,24.6,-43.7
"7Q10",0.000099,5.07,5120000
"Year of 90-Day Low Flow",2005,1999,100
"Drought Year Mean",49.1165165165165,83.2944662332635,69.6
"Mean Baseflow",110,44.4,-59.6
