"","USGS Gage","Model","Pct. Error"
"Jan. Low Flow",20,16.2,-19
"Feb. Low Flow",11,22.2,102
"Mar. Low Flow",11,44.9,308
"Apr. Low Flow",12,49.6,313
"May Low Flow",18,52.4,191
"Jun. Low Flow",16,51.6,222
"Jul. Low Flow",20,46.1,131
"Aug. Low Flow",39,31.7,-18.7
"Sep. Low Flow",53.1,22.1,-58.4
"Oct. Low Flow",146,16.6,-88.6
"Nov. Low Flow",82,15.1,-81.6
"Dec. Low Flow",48,11.5,-76
