Qbaseline_unit,Qsynth_unit,Qvahydro_unit,Qcbp6_unit,Qcbp6cc1_unit,Qcbp6cc2_unit,Qcbp6cc3_unit,run_mode,flow_mode,withdrawal_mgd,discharge_mgd,name,description,componentid,subshedid,dt,month,day,year,thisdate,time,timestamp,season,best_available,week,Runit,Broadcast to Parent,Listen on Child,Listen on Parent,Broadcast on Child
0,0,1.691432098,1.775254152,0,0,0,2,4,0,0,,,0,,,1,1,1984,1/1/1984,,441781200,,1.691432098,52,Qmdc_unit,0,0,0,0
0,0,1.569811927,1.670008509,0,0,0,2,4,0,4.588333333,,,0,,,1,2,1984,1/2/1984,,441867600,,1.569811927,1,Qmdc_unit,0,0,0,0
0,0,1.45701027,1.549456715,0,0,0,2,4,29.78366663,4.588333333,,,0,,,1,3,1984,1/3/1984,,441954000,,1.45701027,1,Qmdc_unit,0,0,0,0
0,0,1.352256517,1.435247872,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,4,1984,1/4/1984,,442040400,,1.352256517,1,Qmdc_unit,0,0,0,0
0,0,1.255130904,1.328514239,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,5,1984,1/5/1984,,442126800,,1.255130904,1,Qmdc_unit,0,0,0,0
0,0,1.165207611,1.230206499,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,6,1984,1/6/1984,,442213200,,1.165207611,1,Qmdc_unit,0,0,0,0
0,0,1.082049128,1.134398987,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,7,1984,1/7/1984,,442299600,,1.082049128,1,Qmdc_unit,0,0,0,0
0,0,1.005101849,1.046820707,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,8,1984,1/8/1984,,442386000,,1.005101849,1,Qmdc_unit,0,0,0,0
0,0,0.933813772,0.965962772,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,9,1984,1/9/1984,,442472400,,0.933813772,2,Qmdc_unit,0,0,0,0
0,0,0.883992781,1.235624687,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,10,1984,1/10/1984,,442558800,,0.883992781,2,Qmdc_unit,0,0,0,0
0,0,0.846130255,1.609320185,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,11,1984,1/11/1984,,442645200,,0.846130255,2,Qmdc_unit,0,0,0,0
0,0,0.788937372,0.965974945,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,12,1984,1/12/1984,,442731600,,0.788937372,2,Qmdc_unit,0,0,0,0
0,0,0.736513695,0.894914306,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,13,1984,1/13/1984,,442818000,,0.736513695,2,Qmdc_unit,0,0,0,0
0,0,0.690233129,0.863905235,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,14,1984,1/14/1984,,442904400,,0.690233129,2,Qmdc_unit,0,0,0,0
0,0,0.648203451,0.775483471,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,15,1984,1/15/1984,,442990800,,0.648203451,2,Qmdc_unit,0,0,0,0
0,0,0.610099756,0.715739608,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,16,1984,1/16/1984,,443077200,,0.610099756,3,Qmdc_unit,0,0,0,0
0,0,0.583701337,0.701873443,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,17,1984,1/17/1984,,443163600,,0.583701337,3,Qmdc_unit,0,0,0,0
0,0,0.654017008,0.93718699,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,18,1984,1/18/1984,,443250000,,0.654017008,3,Qmdc_unit,0,0,0,0
0,0,0.60270551,0.67015556,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,19,1984,1/19/1984,,443336400,,0.60270551,3,Qmdc_unit,0,0,0,0
0,0,0.559810015,0.597913663,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,20,1984,1/20/1984,,443422800,,0.559810015,3,Qmdc_unit,0,0,0,0
0,0,0.526602236,0.55098966,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,21,1984,1/21/1984,,443509200,,0.526602236,3,Qmdc_unit,0,0,0,0
0,0,0.495727099,0.511037923,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,22,1984,1/22/1984,,443595600,,0.495727099,3,Qmdc_unit,0,0,0,0
0,0,0.467944639,0.520324556,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,23,1984,1/23/1984,,443682000,,0.467944639,4,Qmdc_unit,0,0,0,0
0,0,0.456849215,0.826079382,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,24,1984,1/24/1984,,443768400,,0.456849215,4,Qmdc_unit,0,0,0,0
0,0,0.780920863,0.984469341,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,25,1984,1/25/1984,,443854800,,0.780920863,4,Qmdc_unit,0,0,0,0
0,0,0.724731388,0.803513069,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,26,1984,1/26/1984,,443941200,,0.724731388,4,Qmdc_unit,0,0,0,0
0,0,0.788547178,0.766669313,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,27,1984,1/27/1984,,444027600,,0.788547178,4,Qmdc_unit,0,0,0,0
0,0,0.822426822,0.7298335,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,28,1984,1/28/1984,,444114000,,0.822426822,4,Qmdc_unit,0,0,0,0
0,0,0.779766221,0.680997465,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,29,1984,1/29/1984,,444200400,,0.779766221,4,Qmdc_unit,0,0,0,0
0,0,0.732842316,0.647333031,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,30,1984,1/30/1984,,444286800,,0.732842316,5,Qmdc_unit,0,0,0,0
0,0,0.715076156,0.689651504,0,0,0,2,4,28.82290319,4.588333333,,,0,,,1,31,1984,1/31/1984,,444373200,,0.715076156,5,Qmdc_unit,0,0,0,0
0,0,0.67744907,0.623059327,0,0,0,2,4,28.82290319,4.588333333,,,0,,,2,1,1984,2/1/1984,,444459600,,0.67744907,5,Qmdc_unit,0,0,0,0
0,0,0.630267685,0.632424377,0,0,0,2,4,28.82290319,3.055,,,0,,,2,2,1984,2/2/1984,,444546000,,0.630267685,5,Qmdc_unit,0,0,0,0
