"","date","mod1.flow","mod2.flow"
"1",1984-01-01,29611.53574,47329.89171
"2",1984-01-02,39078.52685,47506.54859
"3",1984-01-03,38163.06066,60491.63891
"4",1984-01-04,31583.52429,46136.87218
"5",1984-01-05,25547.301963,31809.26528
"6",1984-01-06,21646.975101,24618.861438
"7",1984-01-07,19053.580874,21023.074767
"8",1984-01-08,17299.731932,18806.728148
"9",1984-01-09,15977.499329,17157.118042
"10",1984-01-10,15110.568299,16323.220029
"11",1984-01-11,14607.265747,15716.575074
"12",1984-01-12,13905.286925,14829.321656
"13",1984-01-13,13228.470517,13971.948728
"14",1984-01-14,12522.220855,13226.231386
"15",1984-01-15,11782.059174,12504.563718
"16",1984-01-16,11032.35385,11820.42282
"17",1984-01-17,10323.136292,11236.413817
"18",1984-01-18,9879.379671,10750.669401
"19",1984-01-19,9324.816651,10327.521054
"20",1984-01-20,8774.52423,9852.673036
"21",1984-01-21,8291.518646,9388.018312
"22",1984-01-22,7809.742677,8951.187044
"23",1984-01-23,7354.612701,8600.914889
"24",1984-01-24,6972.881624,8700.72809
"25",1984-01-25,6708.552307,8636.760652
"26",1984-01-26,6962.924041,8413.430819
"27",1984-01-27,7121.074649,8156.416899
"28",1984-01-28,7091.045044,7896.080443
"29",1984-01-29,6993.357328,7619.029512
"30",1984-01-30,6873.405793,7360.108092
"31",1984-01-31,6695.51178,7116.543094
"32",1984-02-01,6463.170105,6866.828979
"33",1984-02-02,6188.289351,6738.966948
"34",1984-02-03,6068.309097,6508.993255
"35",1984-02-04,6114.011964,6440.068999
"36",1984-02-05,6274.546081,6546.865357
"37",1984-02-06,6242.502151,6405.215361
"38",1984-02-07,6620.685577,6277.123504
"39",1984-02-08,6646.374084,6064.693678
"40",1984-02-09,6246.265139,5813.110566
"41",1984-02-10,5795.657514,5558.781295
"42",1984-02-11,5856.728347,5468.645493
"43",1984-02-12,5831.184158,5607.743213
"44",1984-02-13,5972.430374,5666.019654
"45",1984-02-14,9016.411316,9928.783967
"46",1984-02-15,23074.36245,17226.026184
"47",1984-02-16,93155.74488,20758.841004
"48",1984-02-17,134685.08837,18516.495239
"49",1984-02-18,98571.69091,16342.779603
"50",1984-02-19,58174.15978,14944.074095
"51",1984-02-20,39633.91527,13679.167359
"52",1984-02-21,30078.89953,12321.433256
"53",1984-02-22,23965.159787,11133.196228
"54",1984-02-23,20936.031859,11111.147829
"55",1984-02-24,24708.147783,12545.237915
"56",1984-02-25,38530.29164,17780.274231
"57",1984-02-26,43341.79018,17981.052918
"58",1984-02-27,40463.65113,16255.973814
"59",1984-02-28,35952.46216,16139.407227
"60",1984-02-29,30549.69117,15841.742492
"61",1984-03-01,26299.57958,15345.715513
"62",1984-03-02,23285.2185,14448.828248
"63",1984-03-03,20977.434204,13509.20807
"64",1984-03-04,19213.880372,12726.246032
"65",1984-03-05,18431.118653,12432.044495
"66",1984-03-06,18431.683045,12184.044615
"67",1984-03-07,18664.412903,12363.750549
