"","date","mod1.flow","mod2.flow"
"1",1984-01-01,349.697033,349.697033
"2",1984-01-02,232.02176671,232.02176671
"3",1984-01-03,214.1789465,214.1789465
"4",1984-01-04,197.93788432,197.93788432
"5",1984-01-05,184.241673,184.241673
"6",1984-01-06,171.13828372,171.13828372
"7",1984-01-07,158.21983768,158.21983768
"8",1984-01-08,145.80453443,145.80453443
"9",1984-01-09,135.68236112,135.68236112
"10",1984-01-10,130.76017191,130.76017191
"11",1984-01-11,131.67609788,131.67609788
"12",1984-01-12,122.54196357,122.54196357
"13",1984-01-13,108.70529843,108.70529843
"14",1984-01-14,98.93150258,98.93150258
"15",1984-01-15,90.82315328,90.82315328
"16",1984-01-16,83.94257664,83.94257664
"17",1984-01-17,77.16762805,77.16762805
"18",1984-01-18,73.08759213,73.08759213
"19",1984-01-19,66.55081962,66.55081962
"20",1984-01-20,62.04914379,62.04914379
"21",1984-01-21,57.26614429,57.26614429
"22",1984-01-22,52.84363126,52.84363126
"23",1984-01-23,48.71797801,48.71797801
"24",1984-01-24,49.56859005,49.56859005
"25",1984-01-25,49.60006165,49.60006165
"26",1984-01-26,48.53034924,48.53034924
"27",1984-01-27,46.64384521,46.64384521
"28",1984-01-28,43.49571729,43.49571729
"29",1984-01-29,39.99122869,39.99122869
"30",1984-01-30,38.94486322,38.94486322
"31",1984-01-31,36.83533741,36.83533741
"32",1984-02-01,32.90402637,32.90402637
"33",1984-02-02,29.92339468,29.92339468
"34",1984-02-03,28.73567881,28.73567881
"35",1984-02-04,26.98301708,26.98301708
"36",1984-02-05,24.96187843,24.96187843
"37",1984-02-06,23.007611691,23.007611691
"38",1984-02-07,20.935970782,20.935970782
"39",1984-02-08,19.038719655,19.038719655
"40",1984-02-09,17.332385302,17.332385302
"41",1984-02-10,16.099522236,16.099522236
"42",1984-02-11,23.422263691,23.422263691
"43",1984-02-12,32.02087997,32.02087997
"44",1984-02-13,34.02500058,34.02500058
"45",1984-02-14,67.51363995,67.51363995
"46",1984-02-15,56.46161844,56.46161844
"47",1984-02-16,47.47267627,47.47267627
"48",1984-02-17,41.99556735,41.99556735
"49",1984-02-18,38.06478892,38.06478892
"50",1984-02-19,34.86566124,34.86566124
"51",1984-02-20,32.16393459,32.16393459
"52",1984-02-21,29.62538803,29.62538803
"53",1984-02-22,28.45720374,28.45720374
"54",1984-02-23,40.02393124,40.02393124
"55",1984-02-24,44.15065336,44.15065336
"56",1984-02-25,57.55320167,57.55320167
