"","month","evap.mean","evap.med","evap.var","prcp.mean","prcp.med","prcp.var"
"1","Overall",0.00266,1.08e-05,1.78e-05,0.00515,0,0.00037
"2","Jan",0.000672,0,1.25e-06,0.00507,0,0.000277
"3","Feb",0.000808,0,1.58e-06,0.00533,0,0.000329
"4","Mar",0.00139,2.07e-05,3.77e-06,0.00666,0,0.000377
"5","Apr",0.00235,0.000656,9.07e-06,0.00534,0,0.000341
"6","May",0.00375,0.00176,1.98e-05,0.00614,0,0.000538
"7","Jun",0.00555,0.00302,3.79e-05,0.005,0,0.000375
"8","Jul",0.00554,0.00274,3.81e-05,0.00634,0,0.000607
"9","Aug",0.00494,0.00178,3.27e-05,0.00527,0,0.00046
"10","Sep",0.0033,0.000193,1.78e-05,0.00477,0,0.000448
"11","Oct",0.00185,0,6.61e-06,0.00274,0,0.000148
"12","Nov",0.00102,0,2.77e-06,0.00463,0,0.000295
"13","Dec",0.000628,0,1.09e-06,0.00449,0,0.00023
